"Term","Coefficient"
"(Intercept)",-65.7512884443618
"yr2012",86.3821410616805
"mnth2",-0.276853147116219
"mnth3",22.7387553751729
"mnth4",37.4063800548072
"mnth5",46.9114454480056
"mnth6",28.1563202890586
"mnth7",4.17965143146597
"mnth8",25.239958287442
"mnth9",60.3258953620766
"mnth10",77.3062634434691
"mnth11",50.7320841014795
"mnth12",33.647061494812
"hr1",-19.9350235427708
"hr2",-30.1833653441569
"hr3",-41.6954681576244
"hr4",-44.5948887048687
"hr5",-26.7853060367094
"hr6",32.0755445125083
"hr7",168.086531851674
"hr8",303.057912415682
"hr9",159.788316687338
"hr10",101.105738953692
"hr11",125.932500649787
"hr12",169.980448928915
"hr13",161.912661125716
"hr14",143.751809266276
"hr15",153.133675135825
"hr16",218.563873424405
"hr17",378.232497878261
"hr18",346.070411909841
"hr19",232.991327854072
"hr20",149.240546358803
"hr21",102.900529315284
"hr22",65.380462207352
"hr23",26.8734876765612
"holidayYes",-31.464114299773
"workingdayYes",5.43651748785435
"weathersitMist_Cloudy",-10.7301724704929
"weathersitRain_Snow",-63.3670512289481
"temp",251.08656768194
"hum",-83.126837204875
"windspeed",-45.2358567107727
